id,product,category,quantity,unit_price,region,sales_rep,total
124,Phone,Furniture,5.0,18.83,West,Eve,94.14999999999999
125,Desk,Electronics,1.0,274.55,East,Dave,274.55
126,Mouse,Electronics,4.0,484.24,North,Carol,1936.96
127,Tablet,Furniture,5.0,1004.25,South,Eve,5021.25
128,Desk,Furniture,4.0,1153.6,East,,4614.4
129,Mouse,Office,,379.46,,Carol,
130,Tablet,Electronics,3.0,635.32,East,Eve,1905.96
131,Monitor,Furniture,1.0,1197.86,East,Bob,1197.86
132,Monitor,Electronics,,628.87,,,
133,Phone,Furniture,2.0,913.59,North,Bob,1827.18
134,Monitor,Electronics,2.0,1228.87,South,Carol,2457.74
135,Chair,Office,1.0,946.69,North,Eve,946.69
136,Mouse,Electronics,5.0,786.94,East,Alice,3934.7000000000003
137,Mouse,Electronics,1.0,1320.93,,Carol,1320.93
138,Chair,Furniture,1.0,373.98,West,Bob,373.98
139,Phone,Office,4.0,480.64,South,Eve,1922.56
140,Desk,Furniture,2.0,663.46,,,1326.92
141,Tablet,Furniture,2.0,425.87,West,,851.74
142,Phone,Electronics,5.0,477.48,South,,2387.4
143,Monitor,Furniture,1.0,1348.7,North,Dave,1348.7
144,Keyboard,Furniture,4.0,893.7,South,Eve,3574.8
145,Laptop,Furniture,2.0,72.14,East,Eve,144.28
146,Mouse,Furniture,1.0,16.93,North,Bob,16.93
147,Desk,Furniture,3.0,1285.81,North,Eve,3857.43
148,Chair,Furniture,2.0,324.27,South,Bob,648.54
149,Chair,Furniture,4.0,527.57,West,Carol,2110.28
150,Keyboard,Office,1.0,303.34,East,Bob,303.34
151,Mouse,Electronics,4.0,912.8,North,Bob,3651.2
152,Tablet,Electronics,2.0,126.45,,Eve,252.9
153,Phone,Electronics,3.0,856.52,North,Dave,2569.56
154,Mouse,Furniture,1.0,1087.88,South,Eve,1087.88
155,Monitor,Office,2.0,1367.48,North,Eve,2734.96
156,Chair,Office,5.0,920.11,,Bob,4600.55
157,Mouse,Electronics,2.0,983.09,South,Dave,1966.18
158,Keyboard,Office,1.0,1434.5,East,,1434.5
159,Laptop,Furniture,,475.57,South,Eve,
160,Tablet,Furniture,,590.49,North,Carol,
161,Chair,Furniture,1.0,634.21,East,Bob,634.21
162,Mouse,Electronics,,251.01,East,,
163,Laptop,Furniture,3.0,690.34,South,Alice,2071.02
164,Keyboard,Furniture,5.0,628.26,East,Carol,3141.3
165,Tablet,Office,3.0,597.06,West,Carol,1791.1799999999998
166,Desk,Furniture,4.0,462.43,North,,1849.72
167,Desk,Electronics,5.0,151.52,North,Eve,757.6
168,Desk,Office,2.0,113.28,North,,226.56
169,Keyboard,Furniture,3.0,1276.51,East,,3829.5299999999997
170,Desk,Electronics,3.0,935.66,South,Dave,2806.98
171,Laptop,Office,4.0,1336.42,West,Dave,5345.68
172,Keyboard,Office,4.0,42.7,,Dave,170.8
173,Laptop,Furniture,3.0,876.79,South,Dave,2630.37
174,Laptop,Furniture,2.0,1030.33,South,Dave,2060.66
175,Chair,Furniture,2.0,828.73,North,Dave,1657.46
176,Phone,Furniture,,114.3,North,Bob,
177,Phone,Electronics,3.0,994.17,South,,2982.5099999999998
178,Phone,Furniture,5.0,421.42,,Alice,2107.1
179,Monitor,Electronics,5.0,802.0,South,,4010.0
180,Chair,Office,1.0,1094.09,,Bob,1094.09
181,Monitor,Office,4.0,1076.4,South,Eve,4305.6
182,Keyboard,Office,2.0,597.41,,Carol,1194.82
183,Laptop,Electronics,,570.26,West,Dave,
184,Laptop,Furniture,,679.33,North,Carol,
185,Mouse,Electronics,5.0,171.9,South,Carol,859.5
186,Laptop,Office,,1203.7,West,,
187,Laptop,Office,,386.04,East,Carol,
188,Phone,Furniture,,700.69,South,Bob,
189,Monitor,Office,1.0,793.81,,Dave,793.81
190,Keyboard,Office,1.0,1126.51,North,Eve,1126.51
191,Desk,Office,3.0,1302.33,North,,3906.99
192,Tablet,Electronics,4.0,1037.61,North,Eve,4150.44
193,Phone,Electronics,4.0,645.29,West,,2581.16
194,Desk,Furniture,3.0,68.84,East,,206.52
195,Tablet,Electronics,3.0,597.04,East,,1791.12
196,Keyboard,Furniture,1.0,413.06,North,Alice,413.06
197,Monitor,Electronics,1.0,1214.81,East,,1214.81
198,Chair,Electronics,1.0,883.01,North,Dave,883.01
199,Desk,Furniture,2.0,963.08,,Dave,1926.16
200,Laptop,Electronics,,1138.63,,Alice,
201,Phone,Office,2.0,190.29,North,,380.58
202,Tablet,Office,,1245.17,East,,
203,Phone,Office,3.0,747.16,,Alice,2241.48
204,Phone,Furniture,4.0,40.82,South,Carol,163.28
205,Chair,Office,5.0,734.07,,Dave,3670.3500000000004
206,Tablet,Electronics,4.0,157.5,East,Dave,630.0
207,Monitor,Office,4.0,272.76,North,Dave,1091.04
208,Laptop,Furniture,2.0,1296.68,South,,2593.36
209,Phone,Office,5.0,287.52,South,Bob,1437.6
210,Chair,Furniture,4.0,1271.56,West,Alice,5086.24
211,Laptop,Office,1.0,1049.32,South,Eve,1049.32
212,Laptop,Electronics,2.0,227.06,South,Bob,454.12
213,Tablet,Furniture,4.0,133.86,,Dave,535.44
214,Keyboard,Electronics,3.0,594.53,,Bob,1783.59
215,Keyboard,Office,3.0,1140.31,South,Carol,3420.93
216,Keyboard,Office,1.0,929.44,South,Bob,929.44
217,Desk,Furniture,5.0,999.92,,Alice,4999.599999999999
218,Mouse,Electronics,2.0,869.18,East,Eve,1738.36
219,Laptop,Office,3.0,1235.97,South,Bob,3707.91
220,Mouse,Office,2.0,389.86,North,Carol,779.72
221,Keyboard,Electronics,,1468.55,North,Eve,
222,Desk,Furniture,5.0,782.39,East,Carol,3911.95
223,Phone,Electronics,5.0,467.87,,Alice,2339.35
224,Tablet,Office,1.0,410.46,North,Alice,410.46
225,Tablet,Furniture,3.0,863.04,East,Dave,2589.12
226,Mouse,Electronics,4.0,1483.16,North,Carol,5932.64
227,Phone,Furniture,1.0,597.87,North,,597.87
228,Chair,Office,,1020.24,East,Alice,
229,Desk,Office,3.0,1440.45,,Alice,4321.35
230,Keyboard,Electronics,5.0,302.4,South,Eve,1512.0
231,Tablet,Electronics,4.0,87.81,North,Dave,351.24
232,Tablet,Electronics,2.0,1069.07,East,Alice,2138.14
233,Chair,Furniture,4.0,427.73,East,Alice,1710.92
234,Desk,Office,4.0,1037.62,South,Alice,4150.48
235,Tablet,Electronics,2.0,662.61,,Bob,1325.22
236,Monitor,Electronics,,300.77,East,Dave,
237,Phone,Office,3.0,125.97,,Carol,377.90999999999997
238,Laptop,Office,3.0,14.26,East,Dave,42.78
239,Keyboard,Furniture,,129.73,South,Alice,
240,Desk,Electronics,1.0,1056.62,North,Carol,1056.62
241,Chair,Furniture,3.0,1482.21,East,Bob,4446.63
242,Mouse,Furniture,1.0,1168.63,North,Bob,1168.63
243,Keyboard,Electronics,2.0,1015.7,East,Eve,2031.4
244,Mouse,Electronics,2.0,1379.21,,Alice,2758.42
245,Phone,Electronics,4.0,673.3,East,Dave,2693.2
246,Desk,Electronics,,181.27,South,Alice,
247,Tablet,Electronics,1.0,169.11,West,Bob,169.11
248,Laptop,Furniture,,687.8,North,,
249,Chair,Office,1.0,1081.69,North,Dave,1081.69
250,Tablet,Electronics,1.0,287.05,,Bob,287.05
251,Desk,Office,2.0,954.12,North,Bob,1908.24
252,Desk,Office,4.0,712.66,,Dave,2850.64
253,Laptop,Electronics,,1463.6,North,Carol,
254,Keyboard,Office,1.0,469.27,South,Dave,469.27
255,Desk,Electronics,5.0,1485.03,South,Alice,7425.15
256,Keyboard,Furniture,,18.94,West,Eve,
257,Monitor,Furniture,1.0,277.32,East,Bob,277.32
258,Tablet,Furniture,3.0,58.37,,Eve,175.10999999999999
259,Monitor,Furniture,1.0,1101.33,East,Carol,1101.33
260,Desk,Electronics,,1376.99,,Bob,
261,Tablet,Electronics,2.0,292.03,North,Eve,584.06
262,Phone,Furniture,1.0,1262.23,,,1262.23
263,Desk,Electronics,4.0,107.65,West,Alice,430.6
264,Keyboard,Office,3.0,559.59,South,Eve,1678.77
265,Desk,Electronics,2.0,531.45,North,,1062.9
266,Chair,Office,1.0,634.96,East,Bob,634.96
267,Laptop,Office,5.0,728.97,South,Carol,3644.8500000000004
268,Keyboard,Office,5.0,1278.0,North,Bob,6390.0
269,Chair,Electronics,3.0,429.42,West,Bob,1288.26
270,Chair,Electronics,4.0,223.0,East,Bob,892.0
271,Chair,Office,3.0,1099.04,West,Dave,3297.12
272,Desk,Furniture,2.0,1050.14,West,Bob,2100.28
273,Monitor,Office,,479.46,,Carol,
274,Laptop,Office,2.0,208.59,South,Carol,417.18
275,Keyboard,Electronics,1.0,737.22,East,Dave,737.22
276,Monitor,Furniture,5.0,330.02,West,,1650.1
277,Laptop,Furniture,5.0,123.83,,Alice,619.15
278,Phone,Office,5.0,1098.53,North,Dave,5492.65
279,Desk,Furniture,4.0,1125.06,South,Alice,4500.24
280,Tablet,Electronics,5.0,1073.96,West,Alice,5369.8
281,Keyboard,Furniture,3.0,499.73,North,Alice,1499.19
282,Phone,Furniture,4.0,578.78,East,Alice,2315.12
283,Mouse,Electronics,4.0,178.18,South,Bob,712.72
284,Chair,Electronics,2.0,72.09,West,,144.18
285,Tablet,Furniture,4.0,831.92,West,Dave,3327.68
286,Laptop,Furniture,5.0,141.92,West,,709.5999999999999
287,Monitor,Electronics,5.0,495.44,,Alice,2477.2
288,Keyboard,Office,,1061.51,North,Carol,
289,Tablet,Furniture,1.0,1368.6,East,Bob,1368.6
290,Keyboard,Furniture,,1331.57,West,Alice,
291,Mouse,Electronics,5.0,1143.12,,Bob,5715.599999999999
292,Keyboard,Furniture,1.0,140.44,West,Dave,140.44
293,Phone,Electronics,3.0,315.54,North,Dave,946.6200000000001
294,Laptop,Electronics,3.0,1002.83,East,Dave,3008.4900000000002
295,Keyboard,Office,,765.06,South,Carol,
296,Laptop,Electronics,1.0,1322.55,,,1322.55
297,Phone,Electronics,,879.76,East,,
298,Monitor,Electronics,2.0,230.77,South,,461.54
299,Laptop,Furniture,1.0,1028.7,South,Eve,1028.7
300,Desk,Electronics,,882.81,North,Bob,
301,Chair,Furniture,,121.07,West,Bob,
302,Laptop,Office,4.0,1040.8,East,,4163.2
303,Phone,Furniture,5.0,515.51,North,Dave,2577.55
304,Laptop,Electronics,4.0,1256.28,South,,5025.12
305,Monitor,Furniture,3.0,326.06,,Bob,978.1800000000001
306,Phone,Furniture,2.0,910.73,,,1821.46
307,Keyboard,Electronics,5.0,487.41,,,2437.05
308,Phone,Furniture,1.0,296.97,South,Bob,296.97
309,Mouse,Electronics,4.0,1325.7,,Carol,5302.8
310,Tablet,Electronics,2.0,1298.28,West,Alice,2596.56
311,Monitor,Office,3.0,873.66,West,Eve,2620.98
312,Laptop,Office,1.0,204.43,West,Carol,204.43
313,Chair,Office,,1007.43,West,,
314,Tablet,Furniture,,1159.46,,Carol,
315,Chair,Furniture,1.0,684.73,,Dave,684.73
316,Keyboard,Furniture,2.0,788.16,South,Alice,1576.32
317,Tablet,Furniture,4.0,1136.77,East,Carol,4547.08
318,Tablet,Electronics,,1378.36,West,Dave,
319,Mouse,Office,4.0,1108.18,West,Bob,4432.72
320,Phone,Office,3.0,583.53,North,Bob,1750.59
321,Tablet,Furniture,3.0,246.25,North,Carol,738.75
322,Keyboard,Electronics,1.0,273.17,South,Carol,273.17
323,Chair,Electronics,,1308.04,West,Eve,
324,Mouse,Electronics,4.0,1410.45,South,Dave,5641.8
325,Laptop,Furniture,5.0,675.59,North,Alice,3377.9500000000003
326,Mouse,Electronics,3.0,709.7,,Eve,2129.1000000000004
327,Laptop,Furniture,2.0,734.6,West,Alice,1469.2
328,Tablet,Office,3.0,974.52,,,2923.56
329,Chair,Furniture,4.0,1089.59,,,4358.36
330,Tablet,Office,5.0,981.41,South,Carol,4907.05
331,Tablet,Office,3.0,1311.97,North,Dave,3935.91
332,Keyboard,Office,4.0,1001.37,North,Eve,4005.48
333,Keyboard,Furniture,5.0,647.99,,Carol,3239.95
334,Chair,Furniture,1.0,382.67,East,Dave,382.67
335,Monitor,Office,2.0,676.93,North,Alice,1353.86
336,Chair,Furniture,2.0,160.34,,Eve,320.68
337,Monitor,Electronics,,826.91,West,Carol,
338,Desk,Office,1.0,1236.33,West,Bob,1236.33
339,Mouse,Furniture,,1022.75,West,,
340,Desk,Electronics,5.0,1225.04,West,Carol,6125.2
341,Chair,Office,4.0,94.95,East,Alice,379.8
342,Desk,Furniture,1.0,63.79,,Eve,63.79
343,Tablet,Furniture,2.0,734.33,North,Alice,1468.66
344,Chair,Office,1.0,1226.55,East,Alice,1226.55
345,Mouse,Office,4.0,400.51,West,Bob,1602.04
346,Phone,Electronics,2.0,827.03,West,Eve,1654.06
347,Desk,Furniture,5.0,997.72,East,,4988.6
348,Mouse,Furniture,2.0,976.72,South,Eve,1953.44
349,Chair,Electronics,3.0,556.1,West,,1668.3000000000002
350,Phone,Electronics,3.0,802.66,East,Carol,2407.98
351,Mouse,Office,1.0,1144.11,North,Alice,1144.11
352,Chair,Furniture,1.0,312.34,East,Bob,312.34
353,Monitor,Furniture,2.0,1185.66,North,Dave,2371.32
354,Tablet,Furniture,5.0,888.83,West,Alice,4444.150000000001
355,Desk,Furniture,3.0,302.96,,Carol,908.8799999999999
356,Chair,Electronics,,991.8,South,Eve,
357,Chair,Furniture,2.0,1038.95,North,Carol,2077.9
358,Keyboard,Electronics,2.0,982.28,South,Carol,1964.56
359,Monitor,Furniture,1.0,1046.13,East,,1046.13
360,Desk,Electronics,5.0,219.88,West,Bob,1099.4
361,Tablet,Electronics,,737.92,East,Alice,
362,Desk,Furniture,,1109.56,East,Eve,
363,Keyboard,Office,3.0,249.81,East,Carol,749.4300000000001
364,Phone,Office,2.0,1268.12,North,Eve,2536.24
365,Monitor,Furniture,1.0,1268.24,East,Alice,1268.24
366,Monitor,Electronics,,618.52,East,Eve,
367,Chair,Electronics,5.0,652.77,South,Carol,3263.85
368,Desk,Electronics,,1375.65,South,Carol,
369,Mouse,Office,1.0,936.38,South,Bob,936.38
370,Keyboard,Furniture,4.0,672.14,East,Alice,2688.56
371,Desk,Furniture,,156.14,West,Bob,
372,Chair,Electronics,3.0,924.81,West,Carol,2774.43
373,Monitor,Office,5.0,758.5,West,Eve,3792.5
374,Mouse,Electronics,,63.28,North,Alice,
375,Chair,Furniture,3.0,1200.78,South,Bob,3602.34
376,Laptop,Office,,310.17,South,Alice,
377,Desk,Office,5.0,1449.53,East,,7247.65
378,Chair,Office,4.0,472.81,West,Alice,1891.24
379,Mouse,Furniture,,543.83,North,Carol,
380,Keyboard,Office,3.0,511.8,West,,1535.4
381,Keyboard,Office,,433.47,,,
382,Desk,Furniture,1.0,1235.29,East,Dave,1235.29
383,Monitor,Furniture,3.0,783.41,South,Carol,2350.23
384,Monitor,Furniture,,932.07,West,Bob,
385,Keyboard,Office,,95.36,North,Alice,
386,Desk,Furniture,4.0,894.71,West,Carol,3578.84
387,Keyboard,Electronics,3.0,1491.48,East,Bob,4474.4400000000005
388,Desk,Office,2.0,805.93,South,Carol,1611.86
389,Laptop,Electronics,3.0,1325.32,,Alice,3975.96
390,Desk,Furniture,,438.71,South,Bob,
391,Keyboard,Office,1.0,179.34,East,Dave,179.34
392,Keyboard,Furniture,4.0,190.6,South,,762.4
393,Phone,Office,5.0,287.94,West,,1439.7
394,Monitor,Furniture,,315.07,,Alice,
395,Chair,Furniture,5.0,1389.45,,Bob,6947.25
396,Tablet,Furniture,4.0,407.36,North,,1629.44
397,Laptop,Electronics,5.0,330.72,South,Dave,1653.6000000000001
398,Mouse,Office,1.0,243.65,South,,243.65
399,Mouse,Electronics,1.0,298.06,East,Dave,298.06
400,Tablet,Electronics,4.0,712.92,West,Alice,2851.68
401,Tablet,Furniture,2.0,326.16,,Alice,652.32
402,Monitor,Furniture,1.0,994.7,North,Bob,994.7
403,Desk,Office,,43.77,,Dave,
404,Chair,Office,,926.15,East,Eve,
405,Keyboard,Office,4.0,866.99,West,,3467.96
406,Keyboard,Office,3.0,71.94,North,Carol,215.82
407,Keyboard,Electronics,3.0,1350.72,,Eve,4052.16
408,Monitor,Furniture,,498.75,East,Eve,
409,Tablet,Electronics,4.0,861.36,South,,3445.44
410,Chair,Furniture,5.0,542.19,West,Bob,2710.9500000000003
411,Chair,Electronics,2.0,1440.79,,Eve,2881.58
412,Monitor,Furniture,3.0,1418.54,South,Bob,4255.62
413,Monitor,Office,4.0,1218.29,North,,4873.16
414,Monitor,Furniture,3.0,610.93,East,Eve,1832.79
415,Tablet,Electronics,1.0,211.57,West,Carol,211.57
416,Monitor,Office,2.0,722.53,South,Carol,1445.06
417,Chair,Office,4.0,311.93,,,1247.72
418,Mouse,Electronics,2.0,1206.12,North,Eve,2412.24
419,Tablet,Furniture,3.0,86.93,South,Alice,260.79
420,Laptop,Electronics,3.0,1206.89,South,,3620.67
421,Desk,Furniture,3.0,216.89,West,Carol,650.67
422,Monitor,Electronics,1.0,1247.85,North,Alice,1247.85
423,Monitor,Furniture,5.0,172.66,West,Carol,863.3
424,Laptop,Furniture,,1387.6,East,Carol,
425,Laptop,Furniture,,979.77,,Alice,
426,Desk,Office,5.0,476.97,East,Dave,2384.8500000000004
427,Laptop,Electronics,3.0,1207.79,East,Dave,3623.37
428,Laptop,Electronics,3.0,337.02,,Eve,1011.06
429,Phone,Office,,208.31,North,Bob,
430,Keyboard,Electronics,1.0,729.96,South,Carol,729.96
431,Monitor,Furniture,2.0,150.43,,Alice,300.86
432,Phone,Office,5.0,900.07,East,Dave,4500.35
433,Monitor,Electronics,,324.0,East,,
434,Monitor,Office,5.0,1350.96,South,Dave,6754.8
435,Chair,Furniture,3.0,32.36,East,Alice,97.08
436,Tablet,Electronics,3.0,188.12,North,Eve,564.36
437,Phone,Office,1.0,120.3,South,Carol,120.3
438,Mouse,Electronics,3.0,1488.28,East,Dave,4464.84
439,Desk,Electronics,5.0,1219.24,East,Carol,6096.2
440,Mouse,Furniture,4.0,124.35,East,Bob,497.4
441,Desk,Electronics,1.0,826.93,,Dave,826.93
442,Phone,Electronics,,1416.68,North,Alice,
443,Keyboard,Office,4.0,1361.11,North,Bob,5444.44
444,Chair,Electronics,4.0,796.13,East,Dave,3184.52
445,Desk,Furniture,4.0,682.49,West,Bob,2729.96
446,Chair,Furniture,5.0,1464.66,West,Carol,7323.3
447,Keyboard,Electronics,,653.03,East,Eve,
448,Laptop,Electronics,1.0,1161.5,West,Eve,1161.5
449,Phone,Office,5.0,1441.82,East,Alice,7209.099999999999
450,Chair,Furniture,5.0,1424.09,East,Dave,7120.45
451,Desk,Office,5.0,871.49,North,Bob,4357.45
452,Phone,Electronics,5.0,490.2,South,Bob,2451.0
453,Chair,Office,2.0,679.68,,Alice,1359.36
454,Laptop,Electronics,,566.56,South,,
455,Desk,Furniture,1.0,33.28,North,,33.28
456,Tablet,Electronics,3.0,1189.16,North,Alice,3567.4800000000005
457,Tablet,Office,2.0,27.4,,Alice,54.8
458,Mouse,Office,,1074.46,East,Bob,
459,Desk,Office,2.0,1218.09,North,Eve,2436.18
460,Monitor,Office,1.0,1113.77,,Dave,1113.77
461,Mouse,Office,5.0,11.97,South,Carol,59.85
462,Phone,Electronics,4.0,533.91,West,Alice,2135.64
463,Mouse,Office,1.0,1286.56,North,Carol,1286.56
464,Mouse,Electronics,3.0,66.23,North,,198.69
465,Keyboard,Electronics,5.0,1455.66,South,Carol,7278.3
466,Mouse,Electronics,5.0,622.8,North,Dave,3114.0
467,Keyboard,Office,1.0,102.61,North,Carol,102.61
468,Mouse,Furniture,4.0,1132.18,North,Carol,4528.72
469,Laptop,Electronics,5.0,1158.49,South,Dave,5792.45
470,Laptop,Furniture,3.0,397.38,North,Carol,1192.1399999999999
471,Tablet,Electronics,5.0,575.9,North,Alice,2879.5
472,Tablet,Furniture,1.0,1271.27,East,Dave,1271.27
473,Mouse,Electronics,5.0,892.55,South,Alice,4462.75
474,Tablet,Office,2.0,1488.53,West,Eve,2977.06
475,Phone,Furniture,1.0,1028.32,,Bob,1028.32
476,Keyboard,Furniture,,341.46,South,,
477,Chair,Office,3.0,737.46,North,,2212.38
478,Monitor,Furniture,4.0,368.82,South,,1475.28
479,Desk,Office,,83.63,South,Alice,
480,Laptop,Office,5.0,490.17,,Carol,2450.85
481,Phone,Furniture,2.0,141.18,,Dave,282.36
482,Monitor,Electronics,3.0,1279.56,,Alice,3838.68
483,Phone,Furniture,3.0,1316.94,West,Carol,3950.82
484,Keyboard,Office,2.0,387.12,,Eve,774.24
485,Tablet,Electronics,4.0,500.61,South,Carol,2002.44
486,Chair,Furniture,2.0,1298.37,South,Dave,2596.74
487,Chair,Office,2.0,686.77,,Dave,1373.54
